# EnvCloud opacity over the moon disc, across one FULL drift cycle.
# period=1440s, 240 samples (6.0s apart), disc=11056px.
# alpha recovered as 1 - (white_clear - black_clear) on the isolated shell.
t_s	alpha_max	alpha_mean	transmit_min	transmit_mean
0.0	0.03571	0.01683	0.96429	0.98317
6.0	0.03714	0.01632	0.96286	0.98368
12.0	0.03801	0.01588	0.96199	0.98412
18.0	0.03872	0.01581	0.96128	0.98419
24.0	0.03874	0.01597	0.96126	0.98403
30.0	0.04419	0.01623	0.95581	0.98377
36.0	0.05124	0.01661	0.94876	0.98339
42.0	0.05339	0.01691	0.94661	0.98309
48.0	0.05272	0.01724	0.94728	0.98276
54.0	0.05075	0.01754	0.94925	0.98246
60.0	0.04800	0.01795	0.95200	0.98205
66.0	0.04368	0.01841	0.95632	0.98159
72.0	0.04015	0.01880	0.95985	0.98120
78.0	0.03992	0.01901	0.96008	0.98099
84.0	0.03799	0.01925	0.96201	0.98075
90.0	0.03924	0.01946	0.96076	0.98054
96.0	0.04147	0.01960	0.95853	0.98040
102.0	0.04148	0.01961	0.95852	0.98039
108.0	0.03884	0.01926	0.96116	0.98074
114.0	0.03535	0.01842	0.96465	0.98158
120.0	0.03172	0.01706	0.96828	0.98294
126.0	0.02874	0.01534	0.97126	0.98466
132.0	0.02435	0.01337	0.97565	0.98663
138.0	0.02219	0.01145	0.97781	0.98855
144.0	0.02004	0.00963	0.97996	0.99037
150.0	0.02077	0.00796	0.97923	0.99204
156.0	0.02133	0.00637	0.97867	0.99363
162.0	0.02005	0.00481	0.97995	0.99519
168.0	0.01848	0.00359	0.98152	0.99641
174.0	0.01562	0.00272	0.98438	0.99728
180.0	0.01273	0.00210	0.98727	0.99790
186.0	0.00928	0.00172	0.99072	0.99828
192.0	0.00779	0.00148	0.99221	0.99852
198.0	0.00699	0.00129	0.99301	0.99871
204.0	0.00559	0.00100	0.99441	0.99900
210.0	0.00574	0.00081	0.99426	0.99919
216.0	0.00711	0.00072	0.99289	0.99928
222.0	0.00848	0.00064	0.99152	0.99936
228.0	0.00916	0.00050	0.99084	0.99950
234.0	0.01131	0.00034	0.98869	0.99966
240.0	0.00995	0.00021	0.99005	0.99979
246.0	0.00485	0.00009	0.99515	0.99991
252.0	0.00486	0.00006	0.99514	0.99994
258.0	0.00281	0.00007	0.99719	0.99994
264.0	0.00352	0.00012	0.99648	0.99988
270.0	0.00498	0.00021	0.99502	0.99979
276.0	0.00778	0.00039	0.99222	0.99961
282.0	0.00924	0.00054	0.99076	0.99946
288.0	0.00982	0.00056	0.99018	0.99944
294.0	0.00916	0.00049	0.99084	0.99951
300.0	0.00785	0.00029	0.99215	0.99971
