case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
spatial,pan,0,1.5,14.355,0.24342106,0.24342106,0.34424937,-9.263,0
spatial,pan,15,1.5,14.355,0.19476067,0.28385896,0.34424937,-9.263,0.186157
spatial,pan,30,1.5,14.355,0.1416372,0.3137619,0.34424936,-9.263,0.377965
spatial,pan,45,1.5,14.355,0.0890983,0.33251935,0.34424937,-9.263,0.57735
spatial,pan,60,1.5,14.355,0.04337689,0.34150561,0.34424938,-9.263,0.774597
spatial,pan,75,1.5,14.355,0.01153665,0.344056,0.34424936,-9.263,0.935113
spatial,pan,90,1.5,14.355,0,0.34424937,0.34424937,-9.263,1
spatial,pan,105,1.5,14.355,0.01153665,0.344056,0.34424936,-9.263,0.935113
spatial,pan,120,1.5,14.355,0.0433769,0.34150559,0.34424936,-9.263,0.774597
spatial,pan,135,1.5,14.355,0.0890983,0.33251935,0.34424937,-9.263,0.57735
spatial,pan,150,1.5,14.355,0.14163719,0.31376192,0.34424938,-9.263,0.377965
spatial,pan,165,1.5,14.355,0.19476067,0.28385898,0.34424939,-9.263,0.186157
spatial,pan,180,1.5,14.355,0.24342108,0.24342104,0.34424937,-9.263,0
spatial,pan,195,1.5,14.355,0.28385898,0.19476067,0.34424939,-9.263,-0.186157
spatial,pan,210,1.5,14.355,0.3137619,0.1416372,0.34424936,-9.263,-0.377965
spatial,pan,225,1.5,14.355,0.33251935,0.08909831,0.34424937,-9.263,-0.57735
spatial,pan,240,1.5,14.355,0.34150561,0.04337689,0.34424938,-9.263,-0.774597
spatial,pan,255,1.5,14.355,0.344056,0.01153665,0.34424936,-9.263,-0.935113
spatial,pan,270,1.5,14.355,0.34424937,0,0.34424937,-9.263,-1
spatial,pan,285,1.5,14.355,0.344056,0.01153665,0.34424936,-9.263,-0.935113
spatial,pan,300,1.5,14.355,0.34150561,0.04337689,0.34424938,-9.263,-0.774597
spatial,pan,315,1.5,14.355,0.33251935,0.08909826,0.34424936,-9.263,-0.57735
spatial,pan,330,1.5,14.355,0.31376192,0.14163717,0.34424937,-9.263,-0.377965
spatial,pan,345,1.5,14.355,0.283859,0.19476065,0.34424939,-9.263,-0.186157
spatial,rolloff,0,0.25,2.3925,0.24999999,0.24999999,0.35355338,-9.031,0
spatial,rolloff,0,0.5,4.785,0.24999999,0.24999999,0.35355338,-9.031,0
spatial,rolloff,0,1,9.57,0.24999999,0.24999999,0.35355338,-9.031,0
spatial,rolloff,0,1.5,14.355,0.24342106,0.24342106,0.34424937,-9.263,0
spatial,rolloff,0,2,19.14,0.23684211,0.23684211,0.33494532,-9.501,0
spatial,rolloff,0,3,28.71,0.22368424,0.22368424,0.31633729,-9.997,0
spatial,rolloff,0,4,38.28,0.21052631,0.21052631,0.29772916,-10.524,0
spatial,rolloff,0,6,57.42,0.18421054,0.18421054,0.26051304,-11.683,0
spatial,rolloff,0,8,76.56,0.15789474,0.15789474,0.22329688,-13.022,0
spatial,rolloff,0,12,114.84,0.10526315,0.10526315,0.14886458,-16.544,0
spatial,rolloff,0,16,153.12,0.05263158,0.05263158,0.07443229,-22.565,0
spatial,rolloff,0,20,191.4,0,0,0,-120,0
spatial,rolloff,0,30,287.1,0,0,0,-120,0
null_control,pan,0,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,15,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,30,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,45,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,60,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,75,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,90,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,105,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,120,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,135,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,150,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,165,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,180,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,195,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,210,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,225,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,240,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,255,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,270,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,285,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,300,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,315,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,330,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,pan,345,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,0.25,2.3925,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,0.5,4.785,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,1,9.57,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,1.5,14.355,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,2,19.14,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,3,28.71,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,4,38.28,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,6,57.42,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,8,76.56,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,12,114.84,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,16,153.12,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,20,191.4,0.24999999,0.24999999,0.35355338,-9.031,0
null_control,rolloff,0,30,287.1,0.24999999,0.24999999,0.35355338,-9.031,0
hardpan_left,pan,0,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,15,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,30,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,45,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,60,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,75,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,90,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,105,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,120,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,135,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,150,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,165,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,180,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,195,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,210,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,225,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,240,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,255,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,270,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,285,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,300,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,315,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,330,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,pan,345,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,0.25,2.3925,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,0.5,4.785,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,1,9.57,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,1.5,14.355,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,2,19.14,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,3,28.71,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,4,38.28,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,6,57.42,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,8,76.56,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,12,114.84,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,16,153.12,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,20,191.4,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,30,287.1,0.35355339,0,0.35355339,-9.031,-1
hardpan_right,pan,0,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,15,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,30,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,45,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,60,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,75,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,90,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,105,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,120,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,135,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,150,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,165,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,180,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,195,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,210,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,225,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,240,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,255,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,270,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,285,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,300,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,315,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,330,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,345,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,0.25,2.3925,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,0.5,4.785,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,1,9.57,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,1.5,14.355,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,2,19.14,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,3,28.71,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,4,38.28,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,6,57.42,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,8,76.56,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,12,114.84,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,16,153.12,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,20,191.4,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,30,287.1,0,0.35355339,0.35355339,-9.031,1
silence,pan,0,1.5,14.355,0,0,0,-120,0
silence,pan,15,1.5,14.355,0,0,0,-120,0
silence,pan,30,1.5,14.355,0,0,0,-120,0
silence,pan,45,1.5,14.355,0,0,0,-120,0
silence,pan,60,1.5,14.355,0,0,0,-120,0
silence,pan,75,1.5,14.355,0,0,0,-120,0
silence,pan,90,1.5,14.355,0,0,0,-120,0
silence,pan,105,1.5,14.355,0,0,0,-120,0
silence,pan,120,1.5,14.355,0,0,0,-120,0
silence,pan,135,1.5,14.355,0,0,0,-120,0
silence,pan,150,1.5,14.355,0,0,0,-120,0
silence,pan,165,1.5,14.355,0,0,0,-120,0
silence,pan,180,1.5,14.355,0,0,0,-120,0
silence,pan,195,1.5,14.355,0,0,0,-120,0
silence,pan,210,1.5,14.355,0,0,0,-120,0
silence,pan,225,1.5,14.355,0,0,0,-120,0
silence,pan,240,1.5,14.355,0,0,0,-120,0
silence,pan,255,1.5,14.355,0,0,0,-120,0
silence,pan,270,1.5,14.355,0,0,0,-120,0
silence,pan,285,1.5,14.355,0,0,0,-120,0
silence,pan,300,1.5,14.355,0,0,0,-120,0
silence,pan,315,1.5,14.355,0,0,0,-120,0
silence,pan,330,1.5,14.355,0,0,0,-120,0
silence,pan,345,1.5,14.355,0,0,0,-120,0
silence,rolloff,0,0.25,2.3925,0,0,0,-120,0
silence,rolloff,0,0.5,4.785,0,0,0,-120,0
silence,rolloff,0,1,9.57,0,0,0,-120,0
silence,rolloff,0,1.5,14.355,0,0,0,-120,0
silence,rolloff,0,2,19.14,0,0,0,-120,0
