case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
log,rolloff,0,1,9.57,0.24999999,0.24999999,0.35355338,-9.031,0
log,rolloff,0,2,19.14,0.125,0.125,0.17677669,-15.051,0
log,rolloff,0,5,47.85,0.05,0.05,0.07071068,-23.01,0
log,rolloff,0,10,95.7,0.025,0.025,0.03535534,-29.031,0
log,rolloff,0,15,143.55,0.01666667,0.01666667,0.02357023,-32.553,0
log,rolloff,0,20,191.4,0.0125,0.0125,0.01767767,-35.051,0
custom_norm,rolloff,0,1,9.57,0.2375,0.2375,0.33587572,-9.476,0
custom_norm,rolloff,0,2,19.14,0.22499998,0.22499998,0.31819802,-9.946,0
custom_norm,rolloff,0,5,47.85,0.18749999,0.18749999,0.26516503,-11.53,0
custom_norm,rolloff,0,10,95.7,0.125,0.125,0.17677669,-15.051,0
custom_norm,rolloff,0,15,143.55,0.06250001,0.06250001,0.08838837,-21.072,0
custom_norm,rolloff,0,20,191.4,0,0,0,-120,0
