case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
shipped,pan,0,1.5,20.625,0.24316262,0.24316262,0.34388387,-9.272,0
shipped,pan,15,1.5,20.625,0.19602862,0.28289947,0.34417921,-9.264,0.181386
shipped,pan,30,1.5,20.625,0.14522978,0.31305139,0.34509833,-9.241,0.366198
shipped,pan,45,1.5,20.625,0.09584924,0.33318479,0.34669753,-9.201,0.553186
shipped,pan,60,1.5,20.625,0.05399308,0.34466858,0.34887202,-9.147,0.729128
shipped,pan,75,1.5,20.625,0.02584203,0.35004844,0.35100102,-9.094,0.862502
shipped,pan,90,1.5,20.625,0.01592785,0.35157101,0.35193163,-9.071,0.913318
shipped,pan,105,1.5,20.625,0.02584203,0.35004844,0.35100102,-9.094,0.862502
shipped,pan,120,1.5,20.625,0.05399311,0.34466858,0.34887202,-9.147,0.729128
shipped,pan,135,1.5,20.625,0.09584924,0.33318479,0.34669753,-9.201,0.553186
shipped,pan,150,1.5,20.625,0.14522979,0.31305137,0.34509832,-9.241,0.366198
shipped,pan,165,1.5,20.625,0.1960286,0.28289947,0.34417919,-9.264,0.181386
shipped,pan,180,1.5,20.625,0.24316264,0.2431626,0.34388387,-9.272,0
shipped,pan,195,1.5,20.625,0.28289947,0.19602862,0.34417921,-9.264,-0.181386
shipped,pan,210,1.5,20.625,0.31305137,0.14522981,0.34509833,-9.241,-0.366198
shipped,pan,225,1.5,20.625,0.33318479,0.09584926,0.34669754,-9.201,-0.553186
shipped,pan,240,1.5,20.625,0.34466858,0.05399308,0.34887202,-9.147,-0.729128
shipped,pan,255,1.5,20.625,0.35004844,0.02584203,0.35100102,-9.094,-0.862502
shipped,pan,270,1.5,20.625,0.35157101,0.01592785,0.35193163,-9.071,-0.913318
shipped,pan,285,1.5,20.625,0.35004844,0.02584203,0.35100102,-9.094,-0.862502
shipped,pan,300,1.5,20.625,0.34466858,0.05399308,0.34887202,-9.147,-0.729128
shipped,pan,315,1.5,20.625,0.33318479,0.0958492,0.34669752,-9.201,-0.553186
shipped,pan,330,1.5,20.625,0.31305139,0.14522974,0.34509831,-9.241,-0.366198
shipped,pan,345,1.5,20.625,0.28289951,0.19602857,0.34417922,-9.264,-0.181386
shipped,rolloff,0,0.25,3.4375,0.24428313,0.24428313,0.34546852,-9.232,0
