# The rolloff GloomhavenVR AUTHORS, from VoiceCurve.Gain (the shipped code).
# This is NOT a measurement of Unity's audio engine — that is voice-spatial-probe.
# full_level_m=2 silence_m=25 shape=1.6
distance_m_perceived,gain,gain_db
0.00,1.000000,0.000
0.10,1.000000,0.000
0.20,1.000000,0.000
0.30,1.000000,0.000
0.40,1.000000,0.000
0.50,1.000000,0.000
0.60,1.000000,0.000
0.70,1.000000,0.000
0.80,1.000000,0.000
0.90,1.000000,0.000
1.00,1.000000,0.000
1.10,1.000000,0.000
1.20,1.000000,0.000
1.30,1.000000,0.000
1.40,1.000000,0.000
1.50,1.000000,0.000
1.60,1.000000,0.000
1.70,1.000000,0.000
1.80,1.000000,0.000
1.90,1.000000,0.000
2.00,1.000000,0.000
2.10,0.993052,-0.061
2.20,0.986123,-0.121
2.30,0.979212,-0.182
2.40,0.972319,-0.244
2.50,0.965445,-0.305
2.60,0.958589,-0.367
2.70,0.951751,-0.430
2.80,0.944931,-0.492
2.90,0.938130,-0.555
3.00,0.931347,-0.618
3.10,0.924583,-0.681
3.20,0.917838,-0.745
3.30,0.911111,-0.809
3.40,0.904402,-0.873
3.50,0.897712,-0.937
3.60,0.891041,-1.002
3.70,0.884388,-1.067
3.80,0.877754,-1.133
3.90,0.871139,-1.198
4.00,0.864542,-1.264
4.10,0.857965,-1.331
4.20,0.851406,-1.397
4.30,0.844866,-1.464
4.40,0.838345,-1.532
4.50,0.831844,-1.599
4.60,0.825361,-1.667
4.70,0.818897,-1.735
4.80,0.812452,-1.804
4.90,0.806026,-1.873
5.00,0.799620,-1.942
5.10,0.793232,-2.012
5.20,0.786864,-2.082
5.30,0.780515,-2.152
5.40,0.774186,-2.223
5.50,0.767875,-2.294
5.60,0.761585,-2.366
5.70,0.755313,-2.437
5.80,0.749061,-2.510
5.90,0.742829,-2.582
6.00,0.736616,-2.655
6.10,0.730423,-2.729
6.20,0.724249,-2.802
6.30,0.718095,-2.876
6.40,0.711961,-2.951
6.50,0.705846,-3.026
6.60,0.699752,-3.101
6.70,0.693677,-3.177
6.80,0.687622,-3.253
6.90,0.681587,-3.330
7.00,0.675572,-3.407
7.10,0.669577,-3.484
7.20,0.663602,-3.562
7.30,0.657647,-3.640
7.40,0.651712,-3.719
7.50,0.645797,-3.798
7.60,0.639903,-3.878
7.70,0.634029,-3.958
7.80,0.628175,-4.038
7.90,0.622342,-4.119
8.00,0.616529,-4.201
8.10,0.610737,-4.283
8.20,0.604965,-4.365
8.30,0.599214,-4.448
8.40,0.593483,-4.532
8.50,0.587773,-4.616
8.60,0.582084,-4.700
8.70,0.576415,-4.785
8.80,0.570768,-4.871
8.90,0.565141,-4.957
9.00,0.559535,-5.043
9.10,0.553950,-5.131
9.20,0.548387,-5.218
9.30,0.542844,-5.307
9.40,0.537322,-5.395
9.50,0.531822,-5.485
9.60,0.526343,-5.575
9.70,0.520885,-5.665
9.80,0.515448,-5.756
9.90,0.510033,-5.848
10.00,0.504640,-5.940
10.10,0.499268,-6.033
10.20,0.493917,-6.127
10.30,0.488588,-6.221
10.40,0.483281,-6.316
10.50,0.477996,-6.412
10.60,0.472732,-6.508
10.70,0.467491,-6.605
10.80,0.462271,-6.702
10.90,0.457073,-6.800
11.00,0.451898,-6.899
11.10,0.446744,-6.999
11.20,0.441613,-7.099
11.30,0.436504,-7.200
11.40,0.431417,-7.302
11.50,0.426353,-7.405
11.60,0.421311,-7.508
11.70,0.416292,-7.612
11.80,0.411295,-7.717
11.90,0.406321,-7.823
12.00,0.401370,-7.929
12.10,0.396441,-8.036
12.20,0.391536,-8.145
12.30,0.386653,-8.254
12.40,0.381793,-8.363
12.50,0.376957,-8.474
12.60,0.372143,-8.586
12.70,0.367353,-8.698
12.80,0.362586,-8.812
12.90,0.357843,-8.926
13.00,0.353123,-9.041
13.10,0.348426,-9.158
13.20,0.343753,-9.275
13.30,0.339104,-9.393
13.40,0.334478,-9.513
13.50,0.329877,-9.633
13.60,0.325299,-9.754
13.70,0.320746,-9.877
13.80,0.316216,-10.000
13.90,0.311711,-10.125
14.00,0.307230,-10.251
14.10,0.302773,-10.378
14.20,0.298341,-10.506
14.30,0.293934,-10.635
14.40,0.289551,-10.766
14.50,0.285193,-10.897
14.60,0.280859,-11.030
14.70,0.276551,-11.164
14.80,0.272267,-11.300
14.90,0.268009,-11.437
15.00,0.263776,-11.575
15.10,0.259568,-11.715
15.20,0.255386,-11.856
15.30,0.251229,-11.999
15.40,0.247098,-12.143
15.50,0.242993,-12.288
15.60,0.238913,-12.435
15.70,0.234860,-12.584
15.80,0.230832,-12.734
15.90,0.226831,-12.886
16.00,0.222856,-13.040
16.10,0.218907,-13.195
16.20,0.214985,-13.352
16.30,0.211089,-13.511
16.40,0.207221,-13.671
16.50,0.203379,-13.834
16.60,0.199564,-13.998
16.70,0.195776,-14.165
16.80,0.192016,-14.333
16.90,0.188283,-14.504
17.00,0.184578,-14.676
17.10,0.180900,-14.851
17.20,0.177250,-15.028
17.30,0.173628,-15.208
17.40,0.170035,-15.389
17.50,0.166469,-15.573
17.60,0.162932,-15.760
17.70,0.159423,-15.949
17.80,0.155944,-16.141
17.90,0.152493,-16.335
18.00,0.149071,-16.532
18.10,0.145678,-16.732
18.20,0.142315,-16.935
18.30,0.138981,-17.141
18.40,0.135677,-17.350
18.50,0.132403,-17.562
18.60,0.129159,-17.778
18.70,0.125945,-17.996
18.80,0.122761,-18.219
18.90,0.119609,-18.445
19.00,0.116487,-18.674
19.10,0.113396,-18.908
19.20,0.110337,-19.146
19.30,0.107309,-19.387
19.40,0.104313,-19.633
19.50,0.101348,-19.884
19.60,0.098416,-20.139
19.70,0.095516,-20.398
19.80,0.092649,-20.663
19.90,0.089815,-20.933
20.00,0.087014,-21.208
20.10,0.084246,-21.489
20.20,0.081512,-21.776
20.30,0.078812,-22.068
20.40,0.076146,-22.367
20.50,0.073515,-22.672
20.60,0.070919,-22.985
20.70,0.068357,-23.304
20.80,0.065832,-23.631
20.90,0.063342,-23.966
21.00,0.060888,-24.309
21.10,0.058471,-24.661
21.20,0.056090,-25.022
21.30,0.053747,-25.393
21.40,0.051442,-25.774
21.50,0.049175,-26.165
21.60,0.046946,-26.568
21.70,0.044757,-26.983
21.80,0.042606,-27.410
21.90,0.040496,-27.852
22.00,0.038426,-28.307
22.10,0.036398,-28.779
22.20,0.034410,-29.266
22.30,0.032465,-29.772
22.40,0.030563,-30.296
22.50,0.028704,-30.841
22.60,0.026889,-31.409
22.70,0.025119,-32.000
22.80,0.023394,-32.618
22.90,0.021716,-33.264
23.00,0.020086,-33.942
23.10,0.018503,-34.655
23.20,0.016970,-35.407
23.30,0.015486,-36.201
23.40,0.014055,-37.043
23.50,0.012676,-37.940
23.60,0.011351,-38.899
23.70,0.010082,-39.929
23.80,0.008870,-41.042
23.90,0.007717,-42.251
24.00,0.006626,-43.575
24.10,0.005598,-45.040
24.20,0.004636,-46.676
24.30,0.003744,-48.532
24.40,0.002926,-50.674
24.50,0.002186,-53.208
24.60,0.001529,-56.309
24.70,0.000965,-60.307
24.80,0.000505,-65.942
24.90,0.000166,-75.575
25.00,0.000000,-120.000
25.10,0.000000,-120.000
25.20,0.000000,-120.000
25.30,0.000000,-120.000
25.40,0.000000,-120.000
25.50,0.000000,-120.000
25.60,0.000000,-120.000
25.70,0.000000,-120.000
25.80,0.000000,-120.000
25.90,0.000000,-120.000
26.00,0.000000,-120.000
26.10,0.000000,-120.000
26.20,0.000000,-120.000
26.30,0.000000,-120.000
26.40,0.000000,-120.000
26.50,0.000000,-120.000
26.60,0.000000,-120.000
26.70,0.000000,-120.000
26.80,0.000000,-120.000
26.90,0.000000,-120.000
27.00,0.000000,-120.000
27.10,0.000000,-120.000
27.20,0.000000,-120.000
27.30,0.000000,-120.000
27.40,0.000000,-120.000
27.50,0.000000,-120.000
27.60,0.000000,-120.000
27.70,0.000000,-120.000
27.80,0.000000,-120.000
27.90,0.000000,-120.000
28.00,0.000000,-120.000
28.10,0.000000,-120.000
28.20,0.000000,-120.000
28.30,0.000000,-120.000
28.40,0.000000,-120.000
28.50,0.000000,-120.000
28.60,0.000000,-120.000
28.70,0.000000,-120.000
28.80,0.000000,-120.000
28.90,0.000000,-120.000
29.00,0.000000,-120.000
29.10,0.000000,-120.000
29.20,0.000000,-120.000
29.30,0.000000,-120.000
29.40,0.000000,-120.000
29.50,0.000000,-120.000
29.60,0.000000,-120.000
29.70,0.000000,-120.000
29.80,0.000000,-120.000
29.90,0.000000,-120.000
30.00,0.000000,-120.000
